ID	PTU	mobility	oriT Family	oriT	oriT_start	oriT_end	oriT_strand	MOB	MOB_start	MOB_end	MOB_strand	Leading Region
NZ_CP034387.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	2395	2239	-1	MOBQ	81	2270	-1	From 2395 in downstream direction.
NZ_CP035324.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	3467	3644	1	MOBQ	3645	4220	1	From 3467 in upstream direction.
NZ_CP036207.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	724	901	1	MOBQ	902	3049	1	From 724 in upstream direction.
NZ_CP038795.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	1722	1878	1	MOBQ	1847	4036	1	From 1722 in upstream direction.
NZ_CP039858.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	3896	4073	1	MOBQ	1	2148	1	From 3896 in upstream direction.
NZ_CP040271.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	2300	2477	1	MOBQ	2391	4085	1	From 2300 in upstream direction.
NZ_CP041440.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	2613	2436	-1	MOBQ	288	2435	-1	From 2613 in downstream direction.
NZ_CP041450.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	3446	3623	1	MOBQ	3624	4070	1	From 3446 in upstream direction.
NZ_CP041958.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	3086	2909	-1	MOBQ	749	3010	-1	From 3086 in downstream direction.
NZ_CP044963.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	3285	3108	-1	MOBQ	960	3107	-1	From 3285 in downstream direction.
NZ_CP045285.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	2411	2234	-1	MOBQ	86	2233	-1	From 2411 in downstream direction.
NZ_CP045939.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	2928	2751	-1	MOBQ	699	2837	-1	From 2928 in downstream direction.
NZ_CP048316.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	1474	1297	-1	MOBQ	1	1383	-1	From 1474 in downstream direction.
NZ_CP048336.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	661	838	1	MOBQ	839	2986	1	From 661 in upstream direction.
NZ_CP049106.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	2308	2131	-1	MOBQ	1	2130	-1	From 2308 in downstream direction.
NZ_CP050383.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	3077	2900	-1	MOBQ	740	2986	-1	From 3077 in downstream direction.
NZ_CP050744.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	312	126	-1	MOBQ	2039	4072	-1	From 312 in downstream direction.
NZ_CP050752.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	53	230	1	MOBQ	231	2390	1	From 53 in upstream direction.
NZ_CP050755.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	730	553	-1	MOBQ	1	552	-1	From 730 in downstream direction.
NZ_CP051697.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	1879	1702	-1	MOBQ	1	1788	-1	From 1879 in downstream direction.
NZ_CP051723.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	3714	3537	-1	MOBQ	1377	3536	-1	From 3714 in downstream direction.
NZ_CP051748.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	1472	1649	1	MOBQ	1563	3809	1	From 1472 in upstream direction.
NZ_HG941720.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	3925	3748	-1	MOBQ	1588	3834	-1	From 3925 in downstream direction.
NZ_LR130566.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	3295	3118	-1	MOBQ	958	3204	-1	From 3295 in downstream direction.
NZ_LT985232.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	3910	4087	1	MOBQ	1	2160	1	From 3910 in upstream direction.
NZ_LT985240.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	4661	4484	-1	MOBQ	2441	4483	-1	From 4661 in downstream direction.
NZ_LT985285.1	PTU-E10	MOB-Mobilizable	mobQ4	mobQ4	719	896	1	MOBQ	897	3044	1	From 719 in upstream direction.
NC_011082.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	99	39	-1	NA	NA	NA	NA	From  39  in upstream direction.
NC_013368.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	6592	6526	-1	MOBP1	576	2174	1	From 6526 in upstream direction.
NC_014003.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	1078	1002	-1	MOBP1	1730	3319	1	From 1002 in upstream direction.
NZ_AP019766.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	6593	6517	-1	MOBP1	576	2174	1	From 6517 in upstream direction.
NZ_CP010318.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	2135	2059	-1	MOBP1	2787	4376	1	From 2059 in upstream direction.
NZ_CP011066.1	PTU-E14	MOB-Mobilizable	ColE1	ColE1	98	39	-1	MOBP1	749	2323	1	From 39 in upstream direction.
NZ_CP011433.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	2406	2482	1	MOBP1	165	1754	-1	From 2482 in downstream direction.
NZ_CP011841.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	99	39	-1	NA	NA	NA	NA	From  39  in upstream direction.
NZ_CP011844.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	99	39	-1	NA	NA	NA	NA	From  39  in upstream direction.
NZ_CP011944.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	99	39	-1	NA	NA	NA	NA	From  39  in upstream direction.
NZ_CP012684.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	168	92	-1	MOBP1	820	2409	1	From 92 in upstream direction.
NZ_CP012927.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	99	39	-1	NA	NA	NA	NA	From  39  in upstream direction.
NZ_CP012934.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	99	39	-1	NA	NA	NA	NA	From  39  in upstream direction.
NZ_CP013223.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	344	404	1	NA	NA	NA	NA	From  404  in downstream direction.
NZ_CP013225.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	2843	2903	1	NA	NA	NA	NA	From  2903  in downstream direction.
NZ_CP024053.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	3556	3480	-1	MOBP1	4213	5811	1	From 3480 in upstream direction.
NZ_CP024615.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	1781	1857	1	MOBP1	3	1124	-1	From 1857 in downstream direction.
NZ_CP025244.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	2303	2379	1	MOBP1	62	1651	-1	From 2379 in downstream direction.
NZ_CP028114.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	5489	5555	1	MOBP1	3234	4832	-1	From 5555 in downstream direction.
NZ_CP028119.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	6540	6606	1	MOBP1	4285	5883	-1	From 6606 in downstream direction.
NZ_CP028688.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	4013	4089	1	MOBP1	1758	3356	-1	From 4089 in downstream direction.
NZ_CP028691.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	4013	4089	1	MOBP1	1758	3356	-1	From 4089 in downstream direction.
NZ_CP028696.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	22	98	1	MOBP1	4443	6041	-1	From 98 in downstream direction.
NZ_CP029993.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	212	136	-1	MOBP1	864	2453	1	From 136 in upstream direction.
NZ_CP030332.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	2319	2243	-1	MOBP1	2971	4560	1	From 2243 in upstream direction.
NZ_CP031915.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	6356	6280	-1	MOBP1	338	1936	1	From 6280 in upstream direction.
NZ_CP032882.1	PTU-E14	MOB-Mobilizable	ColE1	ColE1	5872	5931	1	MOBQ	1068	2021	-1	From 5931 in downstream direction.
NZ_CP034386.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	6592	6526	-1	MOBP1	576	2174	1	From 6526 in upstream direction.
NZ_CP034826.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	765	706	-1	NA	NA	NA	NA	From  706  in upstream direction.
NZ_CP035128.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	3010	3069	1	NA	NA	NA	NA	From  3069  in downstream direction.
NZ_CP035550.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	878	802	-1	MOBP1	1530	3119	1	From 802 in upstream direction.
NZ_CP037958.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	2288	2348	1	NA	NA	NA	NA	From  2348  in downstream direction.
NZ_CP039570.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	3942	3866	-1	MOBP1	1	1590	1	From 3866 in upstream direction.
NZ_CP039573.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	3942	3866	-1	MOBP1	1	1590	1	From 3866 in upstream direction.
NZ_CP039602.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	2876	2936	1	NA	NA	NA	NA	From  2936  in downstream direction.
NZ_CP040320.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	275	335	1	NA	NA	NA	NA	From  335  in downstream direction.
NZ_CP040650.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	2773	2713	-1	NA	NA	NA	NA	From  2713  in upstream direction.
NZ_CP040653.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	2722	2662	-1	NA	NA	NA	NA	From  2662  in upstream direction.
NZ_CP042591.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	2537	2613	1	MOBP1	296	1885	-1	From 2613 in downstream direction.
NZ_CP042649.1	PTU-E14	MOB-Mobilizable	ColE1	ColE1	2895	2955	1	MOBP1	1552	2244	-1	From 2955 in downstream direction.
NZ_CP043666.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	3269	3345	1	MOBP1	1028	2617	-1	From 3345 in downstream direction.
NZ_CP043668.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	311	235	-1	MOBP1	963	2552	1	From 235 in upstream direction.
NZ_CP045684.1	PTU-E14	MOB-Mobilizable	ColE1	ColE1	1969	2028	1	MOBP1	2	1318	-1	From 2028 in downstream direction.
NZ_CP048317.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	3010	3070	1	NA	NA	NA	NA	From  3070  in downstream direction.
NZ_CP049080.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	275	335	1	NA	NA	NA	NA	From  335  in downstream direction.
NZ_CP050715.1	PTU-E14	MOB-Mobilizable	ColE1	ColE1	220	280	1	MOBP1	1369	2943	-1	From 280 in downstream direction.
NZ_CP050733.1	PTU-E14	MOB-Mobilizable	ColE1	psT10302A	1594	1518	-1	MOBP1	2246	3835	1	From 1518 in upstream direction.
NZ_CP050767.1	PTU-E14	oriT-Mobilizable	ColE1	ColE1	826	767	-1	NA	NA	NA	NA	From  767  in upstream direction.
NC_001848.1	PTU-E3	oriT-Mobilizable	ColE1	psT10303b	4383	4453	1	NA	NA	NA	NA	From  4453  in downstream direction.
NC_001898.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	1550	1500	-1	MOBP1	2178	3467	1	From 1500 in upstream direction.
NC_003456.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	781	708	-1	MOBP1	1201	2697	1	From 708 in upstream direction.
NC_010796.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2081	2012	-1	MOBP1	2506	4005	1	From 2012 in upstream direction.
NC_010898.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	100	31	-1	MOBP1	523	2019	1	From 31 in upstream direction.
NC_011404.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	220	151	-1	MOBP1	643	2145	1	From 151 in upstream direction.
NC_011418.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	882	813	-1	MOBP1	1305	2804	1	From 813 in upstream direction.
NC_013090.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1855	1785	-1	MOBP1	2276	3775	1	From 1785 in upstream direction.
NC_013265.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1	77	1	MOBP1	3021	4535	-1	From 77 in downstream direction.
NC_013548.1	PTU-E3	oriT-Mobilizable	ColE1	"psT10302A;psT10303b"	1582	1647	1	NA	NA	NA	NA	From  1647  in downstream direction.
NC_013780.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	107	39	-1	MOBP1	530	970	1	From 39 in upstream direction.
NC_016151.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3085	3158	1	MOBP1	1482	2666	-1	From 3158 in downstream direction.
NC_016979.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	4956	5029	1	MOBP1	3034	4566	-1	From 5029 in downstream direction.
NC_017389.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	4307	4383	1	MOBP1	2371	3885	-1	From 4383 in downstream direction.
NC_017446.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3288	3356	1	MOBP1	1343	2863	-1	From 3356 in downstream direction.
NC_018977.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3853	3925	1	MOBP1	1930	3435	-1	From 3925 in downstream direction.
NC_018985.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2953	3022	1	MOBP1	1728	2480	-1	From 3022 in downstream direction.
NC_019132.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	4509	4561	1	MOBP1	2579	4078	-1	From 4561 in downstream direction.
NC_019133.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1972	2044	1	MOBP1	53	1552	-1	From 2044 in downstream direction.
NC_019135.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	4251	4320	1	MOBP1	2329	3828	-1	From 4320 in downstream direction.
NC_019242.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2450	2377	-1	MOBP1	2871	4358	1	From 2377 in upstream direction.
NC_019986.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	413	346	-1	MOBP1	828	2354	1	From 346 in upstream direction.
NC_019988.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	3222	3163	-1	MOBP1	3637	5163	1	From 3163 in upstream direction.
NC_021157.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	881	812	-1	MOBP1	1304	2803	1	From 812 in upstream direction.
NC_021293.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2660	2588	-1	MOBP1	3082	4752	1	From 2588 in upstream direction.
NC_021843.1	PTU-E3	MOB-Mobilizable	ColE1	psT10302A	2974	3040	1	MOBP1	1054	2553	-1	From 3040 in downstream direction.
NC_021869.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	2919	2971	1	MOBP1	989	2488	-1	From 2971 in downstream direction.
NC_025003.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1972	2044	1	MOBP1	53	1552	-1	From 2044 in downstream direction.
NC_025190.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1956	2025	1	MOBP1	37	1533	-1	From 2025 in downstream direction.
NZ_AP019693.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	517	447	-1	MOBP1	938	2437	1	From 447 in upstream direction.
NZ_CP003994.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	2410	2473	1	MOBP1	497	2017	-1	From 2473 in downstream direction.
NZ_CP006638.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	1796	1744	-1	MOBP1	2227	3726	1	From 1744 in upstream direction.
NZ_CP008845.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	2652	2593	-1	MOBP1	3067	3513	1	From 2593 in upstream direction.
NZ_CP010364.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2313	2241	-1	MOBP1	2735	4240	1	From 2241 in upstream direction.
NZ_CP010367.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1526	1595	1	MOBP1	3	1103	-1	From 1595 in downstream direction.
NZ_CP010375.2	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1520	1448	-1	MOBP1	1940	3439	1	From 1448 in upstream direction.
NZ_CP010381.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3497	3432	-1	MOBP1	3920	4921	1	From 3432 in upstream direction.
NZ_CP011049.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2660	2588	-1	MOBP1	3082	4587	1	From 2588 in upstream direction.
NZ_CP011569.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	1681	1618	-1	MOBP1	2074	3222	1	From 1618 in upstream direction.
NZ_CP011592.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	4397	4466	1	MOBP1	2478	3974	-1	From 4466 in downstream direction.
NZ_CP011604.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	1020	957	-1	MOBP1	1413	2933	1	From 957 in upstream direction.
NZ_CP011605.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1117	1044	-1	MOBP1	1537	3042	1	From 1044 in upstream direction.
NZ_CP011606.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1851	1921	1	MOBP1	3	1430	-1	From 1921 in downstream direction.
NZ_CP011607.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3566	3496	-1	MOBP1	3984	4937	1	From 3496 in upstream direction.
NZ_CP011613.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3195	3126	-1	MOBP1	3618	5114	1	From 3126 in upstream direction.
NZ_CP011637.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	1222	1159	-1	MOBP1	1615	3135	1	From 1159 in upstream direction.
NZ_CP011652.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	1752	1689	-1	MOBP1	2145	3221	1	From 1689 in upstream direction.
NZ_CP011658.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	1173	1236	1	MOBP1	1	780	-1	From 1236 in downstream direction.
NZ_CP012991.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	2666	2603	-1	MOBP1	1	1356	1	From 2603 in upstream direction.
NZ_CP014300.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2473	2543	1	MOBP1	529	2055	-1	From 2543 in downstream direction.
NZ_CP014305.2	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	2666	2603	-1	MOBP1	1	1356	1	From 2603 in upstream direction.
NZ_CP016528.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1854	1784	-1	MOBP1	2275	3774	1	From 1784 in upstream direction.
NZ_CP016532.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	781	708	-1	MOBP1	1201	2697	1	From 708 in upstream direction.
NZ_CP016866.1	PTU-E3	MOB-Mobilizable	ColE1	psT10302A	4589	4523	-1	MOBP1	335	1834	1	From 4523 in upstream direction.
NZ_CP016867.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	883	820	-1	MOBP1	1276	2796	1	From 820 in upstream direction.
NZ_CP017582.1	PTU-E3	MOB-Mobilizable	ColE1	psT10302A	563	497	-1	MOBP1	983	1543	1	From 497 in upstream direction.
NZ_CP017583.1	PTU-E3	MOB-Mobilizable	ColE1	psT10302A	4271	4337	1	MOBP1	2352	3851	-1	From 4337 in downstream direction.
NZ_CP018357.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3199	3129	-1	MOBP1	3	1292	1	From 3129 in upstream direction.
NZ_CP018444.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	3776	3835	1	MOBP1	1835	3361	-1	From 3835 in downstream direction.
NZ_CP018453.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	121	193	1	MOBP1	2248	3756	-1	From 193 in downstream direction.
NZ_CP018666.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	2141	2204	1	MOBP1	228	1748	-1	From 2204 in downstream direction.
NZ_CP018738.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	4072	4000	-1	MOBP1	4489	5259	1	From 4000 in upstream direction.
NZ_CP018740.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	4041	3969	-1	MOBP1	406	1914	1	From 3969 in upstream direction.
NZ_CP019843.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	855	786	-1	MOBP1	1278	2777	1	From 786 in upstream direction.
NZ_CP021895.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	908	838	-1	MOBP1	1329	2828	1	From 838 in upstream direction.
NZ_CP023572.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	876	803	-1	MOBP1	1269	2795	1	From 803 in upstream direction.
NZ_CP023889.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1849	1922	1	MOBP1	2	1459	-1	From 1922 in downstream direction.
NZ_CP024043.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	5185	5250	1	MOBP1	3260	4768	-1	From 5250 in downstream direction.
NZ_CP024486.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	65	124	1	MOBP1	1638	3164	-1	From 124 in downstream direction.
NZ_CP024487.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	1511	1574	1	MOBP1	3	1118	-1	From 1574 in downstream direction.
NZ_CP024493.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	1151	1210	1	MOBP1	2	736	-1	From 1210 in downstream direction.
NZ_CP024494.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	1647	1584	-1	MOBP1	2040	3221	1	From 1584 in upstream direction.
NZ_CP024503.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	83	146	1	MOBP1	1393	2913	-1	From 146 in downstream direction.
NZ_CP024511.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	440	499	1	MOBP1	2013	3512	-1	From 499 in downstream direction.
NZ_CP024514.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	1851	1788	-1	MOBP1	2244	3221	1	From 1788 in upstream direction.
NZ_CP024519.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	354	291	-1	MOBP1	747	2267	1	From 291 in upstream direction.
NZ_CP027040.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	318	259	-1	MOBP1	733	2259	1	From 259 in upstream direction.
NZ_CP027113.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	876	803	-1	MOBP1	1269	2795	1	From 803 in upstream direction.
NZ_CP027141.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	4372	4441	1	MOBP1	2450	3949	-1	From 4441 in downstream direction.
NZ_CP028802.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	3019	3078	1	MOBP1	1078	2604	-1	From 3078 in downstream direction.
NZ_CP029125.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2844	2914	1	MOBP1	924	2423	-1	From 2914 in downstream direction.
NZ_CP029444.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	2141	2204	1	MOBP1	228	1748	-1	From 2204 in downstream direction.
NZ_CP029589.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1003	1076	1	MOBP1	2	586	-1	From 1076 in downstream direction.
NZ_CP029592.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	252	325	1	MOBP1	3578	5113	-1	From 325 in downstream direction.
NZ_CP030009.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	802	872	1	MOBP1	1	381	-1	From 872 in downstream direction.
NZ_CP030192.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	65	135	1	MOBP1	2241	3740	-1	From 135 in downstream direction.
NZ_CP030226.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2155	2086	-1	MOBP1	2578	4074	1	From 2086 in upstream direction.
NZ_CP030227.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	829	759	-1	MOBP1	1250	2749	1	From 759 in upstream direction.
NZ_CP030346.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	2899	2840	-1	MOBP1	3324	4820	1	From 2840 in upstream direction.
NZ_CP032484.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1237	1307	1	MOBP1	1	816	-1	From 1307 in downstream direction.
NZ_CP032843.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3192	3122	-1	MOBP1	3612	5105	1	From 3122 in upstream direction.
NZ_CP032884.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1766	1836	1	MOBP1	3	1346	-1	From 1836 in downstream direction.
NZ_CP033785.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3687	3614	-1	MOBP1	4108	5607	1	From 3614 in upstream direction.
NZ_CP033802.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	4613	4541	-1	MOBP1	5033	6301	1	From 4541 in upstream direction.
NZ_CP033803.1	PTU-E3	MOB-Mobilizable	ColE1	ColE1	1	60	1	MOBP1	2742	4214	-1	From 60 in downstream direction.
NZ_CP033827.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2494	2424	-1	MOBP1	2915	4096	1	From 2424 in upstream direction.
NZ_CP034043.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3097	3030	-1	MOBP1	1	1527	1	From 3030 in upstream direction.
NZ_CP035206.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	4649	4579	-1	MOBP1	5069	6364	1	From 4579 in upstream direction.
NZ_CP036173.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2911	2983	1	MOBP1	992	2491	-1	From 2983 in downstream direction.
NZ_CP036198.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	250	178	-1	MOBP1	667	2175	1	From 178 in upstream direction.
NZ_CP038599.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	2831	2768	-1	MOBP1	1	1521	1	From 2768 in upstream direction.
NZ_CP038603.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	4155	4085	-1	MOBP1	4575	6068	1	From 4085 in upstream direction.
NZ_CP038606.1	PTU-E3	MOB-Mobilizable	ColE1	psT10302A	864	928	1	MOBP1	1	438	-1	From 928 in downstream direction.
NZ_CP038610.1	PTU-E3	MOB-Mobilizable	ColE1	psT10302A	2984	2920	-1	MOBP1	3410	4018	1	From 2920 in upstream direction.
NZ_CP038655.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2464	2392	-1	MOBP1	2884	4383	1	From 2392 in upstream direction.
NZ_CP038660.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	1588	1660	1	MOBP1	2	1168	-1	From 1660 in downstream direction.
NZ_CP039273.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	3177	3247	1	MOBP1	1264	2757	-1	From 3247 in downstream direction.
NZ_CP039274.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	2444	2514	1	MOBP1	524	2023	-1	From 2514 in downstream direction.
NZ_CP039281.1	PTU-E3	MOB-Mobilizable	ColE1	psT10302A	1081	1017	-1	MOBP1	1507	3003	1	From 1017 in upstream direction.
NZ_CP039302.1	PTU-E3	MOB-Mobilizable	ColE1	psT10303b	266	335	1	MOBP1	3008	4507	-1	From 335 in downstream direction.
NZ_CP039308.1	PTU-E3	MOB-Mobilizable	ColE1	"psT10302A;psT10303b"	4287	4349	1	MOBP1	2360	3865	-1	From 4349 in downstream direction.
